"OBJECTID","FACILITY_N","county","Latitude","Longitude"
"36","Abraham Memorial Nursing Home (Westlands)","Nairobi","-1.26735","36.75793"
"37","Abrahams Clinic","Kirinyaga","-0.40098","37.2593"
"38","Absalom Wangulu Dispensary","Kisumu","-0.17013","34.84837"
"39","Abundant Life Clinic","Kisumu","-0.122486","34.752132"
"40","Acacia Clinic (Kilimani)","Nairobi","-1.26418","36.79893"
"41","Acacia Medical Centre (Nairobi)","Nairobi","-1.28443","36.82113"
"42","Acacia Medicare Centre","Kajiado","-1.361581","36.65714"
"43","Acc&S Kariua Dispensary","Murang'a","-0.83403","36.97599"
"44","Access Afya","Nairobi","-1.31085","36.8427"
"45","Access Afya Medical Centre Viwandani","Nairobi","-1.30936","36.87844"
"46","Ace Africa (k) Wellness Centre","Bungoma","0.2456","34.256"
"47","Acef Ena Health Centre","Embu","-0.47344","37.55271"
"48","ACK Dispensary (Isiolo)","Isiolo","0.35699","37.57572"
"49","ACK Kanunga Dispensary","Kiambu","-1.16216","36.78138"
"50","ACK Mwingi CHBC Clinic","Kitui","-0.93904","38.06006"
"51","ACK Nyandarua Medical Clinic","Nyandarua","0.03461","36.37201"
"52","ACK Tumaini Medical Clinic","Nyeri","-0.42082","36.95441"
"53","Acode Medical Clinic Maungu","Taita Taveta","-3.55733","38.75037"
"54","Aculaser Institute","Nairobi","-1.26237","36.82461"
"55","Adadijolle Dispensary","Wajir","3.33436","39.45842"
"56","ADC Danisa Dispensary","Kilifi","-3.05351","39.50986"
"57","Ademasajida Dispensary","Wajir","1.02825","39.4885"
"58","Adenawale Dispensaty","Wajir","2.1403","39.29617"
"59","Adiedo Dispensary","Homa Bay","-0.42727","34.60247"
"60","Administration Police Dispensary (Kisumu East)","Kisumu","-0.12409","34.75813"
"61","Administration Police Senior Staff College Dispens","Makueni","-2.14277","37.56218"
"62","Adoma Medical Clinic","Migori","-0.91634","34.52189"
"63","Adu Dispensary","Kilifi","-2.83976","39.98014"
"64","Adurkoit Dispensary","West Pokot","1.35742","34.92782"
"65","Advent Med & Dentist Care Centre","Nakuru","-0.28631","36.06565"
"66","Adventist Centre For Care and Support (Kilimani)","Nairobi","-1.28899","36.80751"
"67","Afraha Maternity and Nursing Home","Nakuru","-0.29746","36.07421"
"68","Africa Inland Church Dispensary","Wajir","1.74868","40.06798"
"69","African Divine Church-Org","Nairobi","-1.24541","36.80472"
"70","African Muslim Agency Dispensary","Isiolo","0.52541","38.50904"
"71","African Muslim Agency- Matsangoni","Kilifi","-3.23366","39.55701"
"72","Afwan Medical Centre","Nairobi","-1.28321","36.8405"
"73","Afwein Dispensary","Garissa","0.35346","39.35608"
"74","Afwene Clinic","Garissa","-0.43407","39.65269"
"75","Afya Bora Clinic (Meru South)","Tharaka Nithi","-0.33367","37.64403"
"76","Afya Bora Clinic (Mutomo)","Kitui","-1.50099","38.12479"
"77","Afya Bora Clinic (Mwea)","Kirinyaga","-0.681054","37.2904"
"78","Afya Bora Clinic Karia","Kiambu","-1.10056","36.81912"
"79","Afya Bora Health Care","Nairobi","-1.26779","36.75751"
"80","Afya Bora Health Clinic","Nyandarua","-0.13267","36.37921"
"81","Afya Bora Mc","Trans Nzoia","1.01331","34.98641"
"82","Afya Bora Medical Clinic","Nakuru","-0.34365","36.05765"
"83","Afya Bora Medical Clinic (CFW Clinic Gichugu)","Kirinyaga","-0.524658","37.41892"
"84","Afya Bora Medical Clinic (Malindi)","Kilifi","-2.86282","40.1482"
"85","Afya Bora Medical Clinic (Mirangine)","Nyandarua","-0.176","36.24414"
"86","Afya Bora Medical Clinic (Muchagara)","Kirinyaga","-0.46852","37.36062"
"87","Afya Bora Medical Clinic (Nyeri South)","Nyeri","-0.43574","36.96286"
"88","Afya Bora Medical Clinic (Turkana Central)","Turkana","3.11942","35.59954"
"89","Afya Bora Medical Clinic (Westlands)","Nairobi","-1.2644","36.75237"
"90","Afya Clinic","Taita Taveta","-3.24262","38.21918"
"91","Afya Frank Medical Clinic","Kajiado","-1.38778","36.7523"
"92","Afya Health Care","Nairobi","-1.19949","36.90172"
"93","Afya Health Services","Nyeri","-0.557562","37.0525"
"94","Afya Health System Hospital","Homa Bay","-0.53","34.46"
"95","Afya House Dispensary","Nairobi","-1.29107","36.81502"
"96","Afya Link Ngurubani Clinic","Kirinyaga","-0.68405","37.3581"
"97","Afya Medical Centre","Mombasa","-4.00659","39.70123"
"98","Afya Medical Clinic","Kiambu","-1.07444","36.9855"
"99","Afya Medical Clinic","Meru","0.14007","37.53345"
"100","Afya Medical Clinic (Dandora)","Nairobi","-1.25143","36.90057"
"101","Afya Medical Clinic (Garissa)","Garissa","-0.45654","39.63904"
"102","Afya Medical Clinic (Gilgil)","Nakuru","-0.49987","36.32373"
"103","Afya Medical Clinic (Gwakungu)","Nyandarua","0.0165","36.49255"
"104","Afya Medical Clinic (Mbaruk)","Nakuru","-0.35429","36.21398"
"105","Afya Medical Clinic (Meru)","Meru","0.04021","37.64849"
"106","Afya Medical Clinic (Munyaka)","Nyandarua","-0.68826","36.62214"
"107","Afya Medical Clinic (Muranga North)","Murang'a","-0.647721","36.9012"
"108","Afya Medical Clinic (Nakuru)","Nakuru","-0.29448","36.09211"
"109","Afya Medical Clinic (Nyeri North)","Nyeri","-0.48076","37.12301"
"110","Afya Medical Clinic (Nyeri South)","Nyeri","-0.63244","37.12623"
"111","Afya Medical Clinic and Nursing Home (Wajir East)","Wajir","1.74477","40.05697"
"112","Afya Medical Clinic(Dagoretti Market)","Kiambu","-1.28628","36.68569"
"113","Afya Medical Clinic(Mwingi)","Kitui","-0.94306","38.06352"
"114","Afya Medical Laboratory","Meru","0.12265","37.55971"
"115","Afya Medicare Clinic","Nyeri","-0.20607","37.09822"
"116","Afya Medicare Clinic (Wajir East)","Wajir","1.75129","40.05686"
"117","Afya Njema Clinic","Machakos","-1.4536","36.98832"
"118","Afya Njema Medical Clinic","Nakuru","-0.20643","35.84816"
"119","Afya Njema Medical Clinic (Nyeri North)","Nyeri","-0.1697","37.02112"
"120","Afya Nursing Home (Moyale)","Marsabit","3.52265","39.0586"
"121","Afya Yako Medical Clinic","Nyeri","-0.42228","37"
"122","Afya Yetu Medical Centre","Kajiado","-1.39246","36.75079"
"123","Afyafirst Medical Center","Mombasa","-4.04277","39.66018"
"124","Afyamax Medical & Centre Dental","Nairobi","-1.20694","36.89414"
"125","Aga Khan","Laikipia","0.04165","36.36212"
"126","Aga Khan Clinic","Laikipia","0.0101","37.07546"
"127","Aga Khan Clinic ( Ngong  Rd Prestige)","Nairobi","-1.28321","36.8405"
"128","Aga Khan Clinic (Eastleigh)","Nairobi","-1.27911","36.84887"
"129","Aga Khan Clinic Kitengela","Kajiado","-1.47256","36.95456"
"130","Aga Khan Greenspam Medical Centre","Nairobi","-1.29923","36.90131"
"131","Aga Khan Health Service Bungoma Centre","Bungoma","0.54743","34.56167"
"132","Aga Khan Hospital","Nairobi","-1.262231","36.817897"
"133","Aga Khan Hospital (Juja)","Kiambu","-1.04323","36.89654"
"134","Aga Khan Hospital (Kisumu)","Kisumu","-0.09937","34.75621"
"135","Aga Khan Hospital (Mombasa)","Mombasa","-4.07012","39.67003"
"136","Aga Khan MC Kitale","Trans Nzoia","1.0129","35.00263"
"137","Aga Khan Medical Centre Kericho","Kericho","-0.37218","35.28087"
"138","Aga Khan University Hospital - Embu","Embu","-0.53674","37.4517"
"139","Aga Khan University Hospital (Buruburu)","Nairobi","-1.28254","36.8796"
"140","Aga Khan University Hospital (Capital Centre)","Nairobi","-1.31661","36.83386"
"141","Aga Khan University Hospital Clinic (Naivasha)","Nakuru","-0.71459","36.43354"
"142","Aga Khan University Hospital Kiambu Clinic","Kiambu","-1.17195","36.82934"
"143","Aga Khan University Hospital -New Machakos Medical","Machakos","-1.51993","37.26969"
"144","Aga Khan University Hospital- Nyeri Medical Centre","Nyeri","-0.025333","37.094"
"145","Aga Khan University Hospital O/R Clinic","Kajiado","-1.38778","36.7523"
"146","Agakhan Kisii","Kisii","-0.4047","34.46258"
"147","Agakhan Medical Centre","Nakuru","-0.28651","36.06348"
"148","Agape Medical Services","Murang'a","-0.789993","36.917"
"149","Agawo Dispensary","Homa Bay","-0.46748","34.7874"
"150","Agc Baby Health Centre","Nakuru","-0.25955","35.9785"
"151","Agenga Dispensary","Migori","-0.91877","34.23407"
"152","Agenga Dispensary (Samia)","Busia","0.25266","34.07067"
"153","Agha Khan University Hospital (Kikuyu Medical Centre)","Kiambu","-1.24577","36.66211"
"154","Agma Clinic","Vihiga","0.15523","34.91108"
"155","Agro Chemical Dispensary","Kisumu","0","35"
"156","Aguthi Dispensary","Nyeri","-0.54185","37.02399"
"157","Ahadi Maternity Services","Kiambu","-1.00341","36.74133"
"158","Ahadi Medical Clinic","Kilifi","-3.83283","39.4514"
"159","Ahero County Hospital","Kisumu","-0.17321","34.92367"
"160","Ahero Medical Centre","Kisumu","-0.17296","34.92412"
"161","AHF Soko Clinic","Mombasa","-4.04153","39.68325"
"162","Ahmadiya Hospital","Kakamega","0.31409","34.57571"
"163","AIC Biribiriet Dispensary","Trans Nzoia","1.02893","35.16853"
"164","AIC Dispensary (Isiolo)","Isiolo","0.33828","37.57018"
"165","AIC Ebenezer","Baringo","0.48535","35.74207"
"166","AIC Gituru Dispensary","Murang'a","-0.81464","36.8668"
"167","AIC Kalamba Dispensary","Makueni","-1.86649","37.51275"
"168","AIC Litein Mission Hospital","Kericho","-0.58621","35.1865"
"169","AIC Liten VCT","Kericho","-0.58129","35.19104"
"170","AIC Mukaa Dispensary","Makueni","-1.83442","37.32693"
"171","AIC Mununga Dispensary","Murang'a","-0.78096","36.92437"
"172","AIC Parkview Dispensary","Nakuru","-0.31257","36.05826"
"173","AIC Zion Medical Clinic","Nairobi","-1.26107","36.87213"
"174","AIC Zombe  Dispensary","Kitui","-1.44564","38.24427"
"175","AIDS Health Care Foundation Parklands Clinic","Nairobi","-1.25811","36.81368"
"176","Aids HealthCare Foundation Eastleigh","Nairobi","-1.2663","36.85348"
"177","Aimon med clinic","Nairobi","-1.24041","36.89572"
"178","Aina Onlus","Meru","0.11539","37.71327"
"179","Ainabkoi (RCEA) Health Centre","Uasin Gishu","0.16561","35.52176"
"180","Ainamoi Dispensary","Nakuru","-0.55684","35.60215"
"181","Ainamoi Health Centre","Kericho","-0.299435","35.27442"
"182","AIPCA Mahinga Dispensary","Nyandarua","-0.36219","36.346"
"183","Air Port Medical Centre","Machakos","-1.39374","36.94028"
"184","Airborne No Twist Huduma Bora Clinic","Kirinyaga","-0.43029","37.3092"
"185","Airport Dispensary (Kisumu)","Kisumu","-0.07331","34.73359"
"186","Airport View Medical Clinic","Mombasa","-4.02982","39.6125"
"187","Airstrip Medical Clinic (Moyale)","Marsabit","3.5234","39.0486"
"188","Airtech Medical Clinic","Kajiado","-1.45336","36.65985"
"189","Aiyebo Dispensary","Baringo","0.65783","35.80768"
"190","Ajam VCT","Kajiado","-1.44125","36.69003"
"191","Ajawa Health Centre","Wajir","2.96213","39.69098"
"192","Aka Khan  Medical Clinic","Trans Nzoia","1.01212","35.007"
"193","Akachiu Health Centre","Meru","0.18318","37.95661"
"194","Akado Dispensary","Homa Bay","-0.44261","34.22513"
"195","Akala Health Centre","Siaya","0.05961","34.42139"
"196","Akemo Medical Clinic","Mombasa","-4.08743","39.65945"
"197","Akemo Nursing Home","Narok","-0.93404","34.84508"
"198","Akicha Medical Services","Turkana","3.10973","35.60969"
"199","Akichelesit Dispensary","Busia","0.69133","34.34332"
"200","Akidiva Kehancha Outpatient Clinic","Migori","-1.19707","34.61838"
"201","Akiriamasi Dispensary","Busia","0.54572","34.21068"
"202","Akorian Dispensary","Baringo","0.62234","35.90683"
"203","Akshar Nursing Home","Kiambu","-1.2486","36.66343"
"204","Akwichatis Health Centre","Baringo","1.0015","36.23617"
"205","Al - Azhar Medical Clinic Centre","Wajir","1.75741","40.06809"
"206","Al - Bushra Medical Centre","Wajir","1.75101","40.05594"
"207","Al - Hayat Medicare","Wajir","1.74546","40.0578"
"208","Al - Nasri Medical Care","Wajir","1.74395","40.05675"
"209","Al Amin Medical Clinic","Garissa","-0.44251","39.64477"
"210","Al Amin Nursing Home","Nairobi","-1.27144","36.84545"
"211","Al -Arbrar Medical Clinic","Samburu","1.09575","36.6982"
"212","Al Azhar Medical Clinic","Mombasa","-4.05469","39.66462"
"213","Al Farooq Hospital","Mombasa","-4.04899","39.66513"
"214","Al Iklas Nursing Home","Garissa","-0.43733","39.65465"
"215","AL Nur Medical Clinic & Laboratory","Kisumu","-0.10131","34.76148"
"216","Al Qudus Clinic","Garissa","-0.42807","39.65069"
"217","Al Riyadh Medical Clinic","Mombasa","-4.02498","39.62522"
"218","Al-Agsa Medical Clinic","Mombasa","-4.04328","39.66141"
"219","Alakara Medical Clinic","Turkana","4.24126","34.3986"
"220","Alale (AIC) Health Centre","West Pokot","2.26698","35.02813"
"221","Alale Health Centre","West Pokot","2.25005","35.02779"
"222","Al-Amin Medical Clinic","Kilifi","-3.21457","40.11477"
"223","Al-Ansar Medical Clinic","Mandera","3.93993","41.85313"
"224","Al-Aqsa Medical Clinic","Garissa","-0.43754","39.64364"
"225","Albilal Medical Clinic (Moyale)","Marsabit","3.5254","39.0584"
"226","Al-Bir Medical Centre","Mombasa","-4.05228","39.67372"
"227","Al-Bir Medical Centre (Kilindini)","Mombasa","-4.03019","39.62144"
"228","Aldai Medical Services","Nandi","0.10507","35.18089"
"229","Alfa Clinic","Nyamira","-0.82872","35.02643"
"230","Alfalah Nursing Home","Isiolo","0.34842","37.58112"
"231","Al-Fallah Medical Clinic","Nairobi","-1.27173","36.85126"
"232","Al-Faruq Dispensary","Garissa","-0.4422","39.65883"
"233","Al-Faruq Medical Clinic","Garissa","-0.43834","39.65516"
"234","Al-Firdaus Health Care","Mombasa","-4.04535","39.66511"
"235","Al-Furaqan Clinic","Wajir","1.74871","40.05859"
"236","Al-Gadhir Clinic","Nairobi","-1.28293","36.74322"
"237","Algadir Medical Clinic","Nakuru","-0.29912","36.06766"
"238","Alhamdu Medical Clinic","Wajir","1.01591","39.49084"
"239","Al-Hamdu Medical Clinic","Wajir","1.75129","40.05686"
"240","Al-Haqq Medical Clinic","Wajir","1.74691","40.05662"
"241","Alhidaya Medical Clinic","Wajir","1.01708","39.49343"
"242","Alice Nursing Home","Nairobi","-1.31699","36.8865"
"243","Alika Medical Clinic","Kiambu","-1.21849","36.71338"
"244","Aliki Medical Centre","Kiambu","-1.1733","36.7584"
"245","Alikune Dispensary","Garissa","-0.2067","40.0079"
"246","Alimaow Health Centre","Wajir","1.73461","40.04766"
"247","Alinjugur Health Centre","Garissa","-0.03048","40.45615"
"248","All Care Medical Centre","Nairobi","-1.3234","36.70736"
"249","All Day Medical Clinic","Murang'a","-0.624374","36.8481"
"250","All Saints Musaa","Kakamega","0.293967","34.6629"
"251","Alliance Clinic","Vihiga","0.11834","34.73399"
"252","Alliance Medical Centre","Nairobi","-1.27943","36.85035"
"253","Alliance Medical Clinic","Garissa","-0.45358","39.64202"
"254","Alliance Medical Clinic (Kirinyaga)","Kirinyaga","-0.56087","37.18919"
"255","Al-Maaruf Clinic","Wajir","1.74985","40.05763"
"256","Almacy Medical  Clinic","Siaya","-0.06349","34.06152"
"257","Al-Maqdis ENT Clinic","Garissa","-0.44803","39.64778"
"258","Almed Health Products","Meru","3.93029","41.8686"
"259","Alms House Dispensary","Mombasa","-4.03733","39.65704"
"260","Al-Mumtaz Medical Clinic","Garissa","-0.47455","39.65443"
"261","Al-Mustaqim Clinic","Wajir","1.75129","40.05686"
"262","Alnas Medical Clinic","Mandera","3.93456","41.85067"
"263","Alnasar Medical Clinic","Garissa","-0.44308","39.64489"
"264","Alpha Community Health Clinic (Migori)","Migori","-1.06888","34.46355"
"265","Alpha Dental Services","Trans Nzoia","1.01627","35.00395"
"266","Alpha Family Health Care","Nyeri","-0.49212","36.96777"
"267","Alpha Medical Agency","Vihiga","0.116212","34.72601"
"268","Alpha Medical Clinic","Samburu","1.0997","36.6993"
"269","Alpha Medical Clinic (Kambu)","Makueni","-2.5961","38.07333"
"270","Alpha Medical Clinic (Koibatek)","Baringo","0.04847","35.72456"
"271","Alpha Medical Clinic Mile Tisa","Kajiado","-2.43682","36.84749"
"272","Alpha Nursing Home","Machakos","-0.93971","37.6759"
"273","Alphine Dental Centre (Kencom Hse)","Nairobi","-1.28579","36.82471"
"274","Alphine Health Care Centre","Bungoma","0.60866","34.65489"
"275","Alphond Medical Centre","Kakamega","0.33465","34.48798"
"276","Al-Ramah Healthcare","Garissa","-0.4406","39.6581"
"277","Al-Siha Nursing Home","Mandera","3.93507","41.85256"
"278","Alum Beach Dispensary","Homa Bay","-0.44673","34.48747"
"279","Aluor Mission Health Centre","Siaya","0.01047","34.465"
"280","Alupe Sub-District Hospital","Busia","0.49723","34.13385"
"281","Ama (Africa Muslim Agency) Clinic","Kiambu","-1.05914","37.11405"
"282","Amaal Annex Nursing","Mandera","3.93705","41.85069"
"283","Amagoro Nursing Home","Busia","0.62761","34.33368"
"284","Amaiga Dispensary (Manga)","Nyamira","0.4638","34.92974"
"285","Amakuriat Dispensary","West Pokot","2.27808","35.00542"
"286","Amal Medical Clinic","Mandera","3.93702","41.83541"
"287","Amalya Medical Centre","Kiambu","-1.23322","36.67059"
"288","Amani Clinic","Nyeri","-0.48204","37.1257"
"289","Amani Clinic (Garissa)","Garissa","-0.45451","39.643"
"290","Amani MC","Trans Nzoia","1.01365","35.00407"
"291","Amani Medical Centre (Suneka)","Kisii","-0.67886","34.70765"
"292","Amani Medical Clinic","Machakos","-1.276","37.23"
"293","Amani Medical Clinic (Changamwe)","Mombasa","-3.99953","39.60588"
"294","Amani Medical Clinic (Kambu)","Makueni","-2.59398","38.07652"
"295","Amani Medical Clinic (Kilifi)","Kilifi","-3.64157","39.84783"
"296","Amani Medical Clinic (Likoni)","Mombasa","-4.08961","39.65088"
"297","Amani Medical Clinic (Malindi)","Kilifi","-2.86064","40.08492"
"298","Amani Medical Clinic (Meru)","Meru","0.0469","37.65956"
"299","Amani Medical Clinic (Meru)","Meru","0.0469","37.65956"
"300","Amani Medical Clinic (Murungaru)","Nyandarua","-0.58922","36.49003"
"301","Amani Medical Clinic Magumu","Nyandarua","-0.86052","36.56489"
"302","Amani Medical Clinic Yatta","Machakos","-1.52265","37.33527"
"303","Amani VCT","Mombasa","-4.06274","39.67241"
"304","Amase Dispensary","Busia","0.52063","34.18226"
"305","Amatierio Dispensary","Nyamira","-0.47118","34.94123"
"306","Amazing Grace M C","Nyandarua","-0.13143","36.34941"
"307","Ambalo Dispensary","Marsabit","3.03433","38.75968"
"308","Ambira Sub-District Hospital","Siaya","0.17689","34.27269"
"309","Amboni Dispensary","Nyeri","-0.33787","36.87315"
"310","Amboseli Dispensary","Kajiado","-2.74492","37.3667"
"311","Amboseli Serena Lodge Clinic","Kajiado","-2.70725","37.26451"
"312","AMEC Laboratories","Nakuru","-0.28489","36.071"
"313","Amina Medical Clinic","Kilifi","-3.89126","39.77954"
"314","Among'ura Community Dispensary","Busia","0.54258","34.13744"
"315","Amoyo Dispensary","Homa Bay","-0.82297","34.35597"
"316","Amugaa Health Centre","Meru","0.15114","37.89011"
"317","Amukura Health Centre","Busia","0.56216","34.27321"
"318","Amukura Mission Health Centre","Busia","0.572","34.27269"
"319","Amuma Dispensary","Garissa","-0.11627","40.29318"
"320","Amuma Mobile Dispensary","Garissa","-0.26111","40.20173"
"321","Amungeti Catholic Dispensary","Meru","0.19328","37.96353"
"322","Amurt Health care Centre (Malindi)","Kilifi","-3.22482","40.12517"
"323","Amurt Health Centre","Nairobi","-1.2658","36.73778"
"324","Amurt Health Centre (Likoni)","Mombasa","-4.07765","39.65362"
"325","Amwamba Dispensary","Meru","0.19384","37.93124"
"326","Ancilla Catholic Dispensary","Uasin Gishu","0.549715","35.2702"
"327","Anderi Dispensary","Samburu","2.22166","36.89779"
"328","Andersen Medical Centre","Trans Nzoia","1.20451","34.78798"
"329","Anding'o Opanga Dispensary","Kisumu","-0.3624","34.8405"
"330","Andulus Medical Clinic","Nairobi","-1.27393","36.84563"
"331","Aneko Dispensary","Migori","-0.98","34.15"
"332","Angaga Dispensary","Migori","-0.98123","34.61518"
"333","Angata Health Centre","Narok","-1.37645","34.77567"
"334","Angata Nanyokie Dispensary","Samburu","1.3181","36.67378"
"335","Angaza VCT","Nairobi","-1.27541","36.91075"
"336","Angelic Medical Centre","Kiambu","-1.20449","36.83379"
"337","Angels Health Services","Meru","0.232003","37.94174"
"338","Ang'iya Dispensary","Homa Bay","-0.45775","34.27647"
"339","Angola Community Dispensary","Kisumu","-0.12713","34.8245"
"340","Angurai Health Centre","Busia","0.70935","34.35149"
"341","Anin Dispensary","Elgeyo Marakwet","0.685766","35.529289"
"342","Anjego Dispensary","Migori","-1.01652","34.44287"
"343","Ankamia Dispensary","Meru","0.12588","37.87908"
"344","Anmer Dispensary","Kiambu","-1.13699","36.84742"
"345","Annet Dispensary","West Pokot","1.32562","35.60279"
"346","Annex Clinic (Kenyenya)","Kisii","-0.91614","34.79611"
"347","Annex Health Care","Nairobi","-1.20013","36.90185"
"348","Annex Hospital (Nakuru)","Nakuru","-0.16938","36.04868"
"349","Annex Laboratory","Nyeri","-0.001332","37.094"
"350","Annex Medical Clinic","Embu","-0.57653","37.63925"
"351","Annex Medical Clinic (Muranga North)","Murang'a","-0.60221","36.95693"
"352","Annex Medical Clinic (Trans Nzoia West)","Trans Nzoia","0.8915","34.91984"
"353","Annointed Medical Clinic","Kakamega","0.29934","34.50601"
"354","Annunciation Catholic Dispensary","Kiambu","-1.21305","36.96945"
"355","Anole Dispensary","Wajir","2.29626","39.48458"
"356","Anona Dispensary","Marsabit","3.59256","38.62391"
"357","Ansar Medical Clinic","Mombasa","-3.98311","39.5958"
"358","Antodevi Medical Clinic","Meru","0.20056","37.94756"
"359","Antony Njogu Clinic","Nyeri","-0.001332","37.094"
"360","Antubangai Catholic Dispensary","Meru","0.292","37.961"
"361","Antubetwe Njoune Dispensary","Meru","0.2633","37.95563"
"362","Antubochiu Dispensary","Meru","0.21061","37.94341"
"363","Anyuongi Dispensary","Siaya","-0.17618","34.27613"
"364","Anza Mapema-Drop in Dice","Kisumu","-0.04721","34.67107"
"365","Ap Line Dispensary","Kakamega","0.27532","34.75514"
"366","Apdk Dispensary (Machakos)","Machakos","-1.5195","37.26185"
"367","Apetit Dispensary","Busia","0.5457","34.21069"
"368","Apex Clinic","Siaya","-0.06349","34.06152"
"369","Apha Laboratory","Kirinyaga","-0.66523","37.20623"
"370","Aphia Disc 1 Nanyuki Transport","Laikipia","0.0143","37.07866"
"371","Aphia Plus Marps Dic Nanyuki","Laikipia","0.01413","37.0703"
"372","Aphiaplus Drop-In Centre (Naivasha)","Nakuru","-0.71238","36.42947"
"373","Apokor Dispensary","Busia","0.52922","34.28329"
"374","Aposta Dispensary","Turkana","4.10123","34.5792"
"375","Apostles Clinic","Kakamega","0.26038","34.50626"
"376","Appex Medical Clinic","Nandi","0.10631","35.18473"
"377","Approved Dispensary","Kakamega","0.29318","34.76131"
"378","Approved School Dispensary (Machakos)","Machakos","-1.58672","37.25784"
"379","Apu Dispensary","Isiolo","0.27955","37.54604"
"380","Aqswaa Medical Clinic","Kwale","-4.36865","39.40521"
"381","Aqua Medical Clinic","Nyeri","-0.17129","37.02035"
"382","Aquilla Farm Medical Clinic","Nakuru","-0.74543","36.25053"
"383","Arabia Health Centre","Mandera","3.94118","41.86135"
"384","Arama Dispensary","Baringo","0.04383","35.66081"
"385","Arara ENT Clinic","Trans Nzoia","1.01555","35.00208"
"386","Arara ENT Clinic","Trans Nzoia","1.01555","35.00208"
"387","Arbajahan Health Centre","Wajir","2.06749","39.0126"
"388","Arbajahan Nomadic Mobile Clinic","Wajir","2.13798","39.28422"
"389","Arbaqueranso Dispensary","Wajir","1.77267","40.2957"
"390","Arcade Medical Clinic","Nyeri","-0.48011","37.12399"
"391","Arcade Medical Clinic (Ruiru)","Kiambu","-1.21078","36.92446"
"392","Archers Post Health Centre","Samburu","0.65141","37.5921"
"393","Aren Medical Clinic","Kiambu","-1.10928","36.62803"
"394","Aren Medical Clinic","Kiambu","-1.10928","36.62803"
"395","Aresa Dispensary","Mandera","3.94589","41.54122"
"396","Argane Dispensary","Wajir","1.66875","40.3606"
"397","Arimi Clinic and Laboratory","Embu","-0.53512","37.45099"
"398","Arimi Dispensary","Nakuru","-0.28251","35.85133"
"399","Arito Langi Dispensary","Kisumu","-0.09448","34.44948"
"400","Arjijo Dispensary","Laikipia","0.30935","37.24632"
"401","Armstrong","Kakamega","0.29934","34.50601"
"402","Aro (SDA) Dispensary","Siaya","-0.06953","34.35579"
"403","Arombe Dispensary","Migori","-1.03484","34.35083"
"404","Arosa Dispensary","Marsabit","3.52172","39.05413"
"405","Arpollo Dispensary","West Pokot","1.19554","35.36162"
"406","Arroket Dispensary","Bomet","-0.61894","35.07315"
"407","Arror Health Centre","Elgeyo Marakwet","0.95125","35.62007"
"408","Arrow Web Maternity and Nursing Home","Nairobi","-1.26843","36.9211"
"409","Arsim Lutheran Dispensary","Samburu","1.77759","37.20554"
"410","Artisan Dental Laboratory (Nairobi)","Nairobi","-1.2887","36.82838"
"411","Asantey Clinic","Kiambu","-1.0349","37.0768"
